start,stop,name,tier
3.3314208403277137,41.729886902081766,Guqin,Guqin
43.19226758005636,71.34309563106723,Guqin,Guqin
73.26687127947972,80.94436983884631,Guqin,Guqin
83.50353602530186,86.55016243774891,Guqin,Guqin
88.68280092646185,89.90145149144068,Guqin,Guqin
93.74020077112398,128.25387219935342,Guqin,Guqin
129.00498669416663,177.33232836817237,Guqin,Guqin
186.5490384951783,191.05804558559996,Guqin,Guqin
192.64229132007245,206.35211017608424,Guqin,Guqin
207.69262579756094,230.55917749687592,Guqin,Guqin
231.65596300535685,257.3443799154028,Guqin,Guqin
266.87475951702004,268.21527513849674,Guqin,Guqin
270.5307112119565,275.16158335887604,Guqin,Guqin
275.9537062261123,285.0935854634535,Guqin,Guqin
285.9645039638655,287.3992496640558,Guqin,Guqin
16.706110790970364,21.923313823155592,Guzheng,Guzheng
22.898234275138655,27.878701104784174,Guzheng,Guzheng
192.65225339798556,202.76705308730982,Guzheng,Guzheng
212.29245164997056,214.6078877234303,Guzheng,Guzheng
224.2371376758557,231.03763088950103,Guzheng,Guzheng
231.65596300535685,261.7305667047805,Guzheng,Guzheng
263.7413401369956,267.0926291906873,Guzheng,Guzheng
269.77366043364077,273.4296121285772,Guzheng,Guzheng
275.97018461791384,279.4433387281035,Guzheng,Guzheng
283.70861570552944,287.3992496640558,Guzheng,Guzheng
42.5019290880086,70.01689008403996,Pipa,Pipa
73.30724660948279,124.5138410121083,Pipa,Pipa
129.2970444796502,156.7189695914903,Pipa,Pipa
160.61865139942253,163.42154769887384,Pipa,Pipa
167.56495961980187,171.28184384298729,Pipa,Pipa
174.87686300967485,177.5849147527282,Pipa,Pipa
193.25146604075525,195.50596958596608,Pipa,Pipa
195.9934298119576,198.36979841366633,Pipa,Pipa
199.28378633740047,203.97559101256897,Pipa,Pipa
206.29102708602872,208.24775951804392,Pipa,Pipa
209.34454502652486,212.45210396722086,Pipa,Pipa
214.15821475819124,220.19053505483643,Pipa,Pipa
222.68876871304303,229.33041429217766,Pipa,Pipa
232.0114455351311,242.2369881422691,Pipa,Pipa
243.63843629199474,245.58827719596087,Pipa,Pipa
246.74599523269077,248.51303855191006,Pipa,Pipa
249.60982406039102,251.86432760560183,Pipa,Pipa
252.6564504728381,253.93603356606584,Pipa,Pipa
255.75017210301738,256.1905371112767,Pipa,Pipa
260.5776791452005,284.44119075764195,Pipa,Pipa
285.9645039638655,287.3992496640558,Pipa,Pipa
55.86125241687969,69.21141238690059,Erhu,Erhu
108.40788165693189,110.4795876173959,Erhu,Erhu
129.00594193871294,177.33232836817237,Erhu,Erhu
212.7298966701722,251.84953505053878,Erhu,Erhu
255.44646470631898,259.95547179674065,Erhu,Erhu
31.029179421105887,42.958923049875665,Xiao,Xiao
55.003215982438014,61.94952420281732,Xiao,Xiao
67.92091197121356,73.15708360621232,Xiao,Xiao
88.61381680939256,98.66768397046786,Xiao,Xiao
104.88280185185987,124.74680606101472,Xiao,Xiao
129.0749260557821,135.61060493983462,Xiao,Xiao
149.12861937773297,149.86881655008685,Xiao,Xiao
156.99792235521298,177.33232836817237,Xiao,Xiao
191.90209414771846,205.0884254442721,Xiao,Xiao
217.76239132005188,219.5903671675201,Xiao,Xiao
222.0886008257267,225.6226874641653,Xiao,Xiao
230.50227076303705,261.2300738510119,Xiao,Xiao
83.58343746483047,103.97379496708237,Zhongruan,Zhongruan
129.00594193871294,177.33232836817237,Zhongruan,Zhongruan
180.88040287893435,191.5554678895046,Zhongruan,Zhongruan
232.0114455351311,253.68747297592023,Zhongruan,Zhongruan
260.6037911406455,287.3992496640558,Zhongruan,Zhongruan
