start,stop,name,tier
1.0214317162526587,12.939259091627205,Guzheng,Guzheng
14.968041363003053,17.10360164866184,Guzheng,Guzheng
18.49171583434005,19.78902578552129,Guzheng,Guzheng
20.993071001588255,27.49741779247723,Guzheng,Guzheng
28.49387038316121,29.999341097617,Guzheng,Guzheng
30.9959358975911,36.99330103314953,Guzheng,Guzheng
39.98552186665219,40.9821166666263,Guzheng,Guzheng
43.473603666561544,45.62696028793415,Guzheng,Guzheng
46.67694409504973,47.940483930731176,Guzheng,Guzheng
51.47667691547491,53.66562620827517,Guzheng,Guzheng
54.69975367858902,55.96329351427047,Guzheng,Guzheng
60.47731496381845,74.39840305464021,Guzheng,Guzheng
1.0214317162526587,49.503513765145755,Guqin,Guqin
50.974647875955526,57.60589632998443,Guqin,Guqin
58.398214599926895,61.830860858483035,Guqin,Guqin
62.00360766694935,74.39840305464021,Guqin,Guqin
13.020329498351412,15.535561885848368,Zhudi,Zhudi
17.00669599665814,43.352004532213705,Zhudi,Zhudi
44.97083783455502,57.60589632998443,Zhudi,Zhudi
60.47731496381845,74.39840305464021,Zhudi,Zhudi
